Отметка времени,Когда вы в последний раз принимали душ на ЛШ?,В какое время дня это было?,Насколько тёплой или холодной была вода?,В каком душе это было?,Сколько людей стояло в очереди ПЕРЕД вами?,Сколько людей принимало душ ОДНОВРЕМЕННО с вами?
29.07.2018 13:54:10,вчера,12:15:00,комфортно тёплая,домик,0,3
29.07.2018 14:28:37,вчера,20:00:00,ледяная,домик,0,1
29.07.2018 14:48:30,вчера,22:01:00,комфортно тёплая,палатка,0,4
29.07.2018 15:01:26,вчера,2:30:00,комфортно тёплая,вагончик,0,1
29.07.2018 16:14:09,вчера,12:20:00,комфортно тёплая,домик,0,2
29.07.2018 16:32:24,вчера,22:30:00,горячая,домик,0,2
29.07.2018 16:40:50,вчера,14:20:00,ледяная,домик,0,1
29.07.2018 16:42:40,сегодня,13:00:00,комфортно тёплая,домик,0,2
29.07.2018 17:42:18,давно,12:40:00,горячая,домик,0,2
29.07.2018 19:48:50,давно,5:30:00,комфортно тёплая,домик,0,0
29.07.2018 20:02:06,вчера,19:27:00,прохладная,домик,4,3
29.07.2018 20:13:35,давно,8:40:00,горячая,вагончик,1,2
29.07.2018 20:15:19,давно,6:00:00,прохладная,домик,0,4
29.07.2018 20:16:00,вчера,23:50:00,прохладная,домик,0,1
29.07.2018 20:16:09,давно,12:30:00,комфортно тёплая,домик,0,1
29.07.2018 20:23:45,вчера,16:00:00,горячая,вагончик,0,1
29.07.2018 20:36:54,сегодня,16:00:00,комфортно тёплая,вагончик,1,2
29.07.2018 20:39:09,сегодня,7:40:00,ледяная,домик,2,4
29.07.2018 20:42:22,давно,11:00:00,комфортно тёплая,палатка,0,1
29.07.2018 20:42:40,сегодня,9:10:00,прохладная,вагончик,0,2
29.07.2018 20:44:04,давно,11:40:00,горячая,вагончик,0,2
29.07.2018 21:25:38,сегодня,8:40:00,комфортно тёплая,вагончик,1,2
29.07.2018 21:50:00,сегодня,19:30:00,едва тёплая,домик,0,2
29.07.2018 22:13:33,давно,15:00:00,комфортно тёплая,палатка,0,4
29.07.2018 22:27:24,сегодня,19:10:00,горячая,домик,4,4
29.07.2018 23:07:15,сегодня,1:10:00,едва тёплая,домик,0,1
29.07.2018 23:11:27,давно,12:00:00,комфортно тёплая,домик,4,4
30.07.2018 0:36:11,давно,22:00:00,комфортно тёплая,домик,1,1
30.07.2018 0:54:18,сегодня,17:30:00,прохладная,домик,0,0
30.07.2018 1:34:03,сегодня,16:40:00,горячая,вагончик,1,2
30.07.2018 2:03:04,давно,15:00:00,едва тёплая,домик,3,4
30.07.2018 3:01:17,вчера,19:14:00,ледяная,палатка,0,0
30.07.2018 16:20:06,давно,7:00:00,комфортно тёплая,домик,0,1
30.07.2018 18:38:24,вчера,14:25:00,прохладная,домик,0,4
30.07.2018 22:17:06,сегодня,19:45:00,комфортно тёплая,домик,0,0
01.08.2018 11:18:49,сегодня,8:40:00,ледяная,домик,0,0
01.08.2018 12:43:28,вчера,12:17:00,комфортно тёплая,домик,2,3
01.08.2018 20:23:23,сегодня,20:00:00,прохладная,вагончик,0,2
02.08.2018 22:09:16,сегодня,9:45:00,ледяная,вагончик,1,2
02.08.2018 22:12:04,сегодня,3:00:00,едва тёплая,домик,0,0
02.08.2018 22:12:29,сегодня,11:25:00,ледяная,вагончик,0,2
02.08.2018 22:14:41,вчера,22:50:00,комфортно тёплая,вагончик,0,0
02.08.2018 22:15:20,сегодня,9:10:00,комфортно тёплая,вагончик,0,2
02.08.2018 22:16:16,вчера,19:01:00,горячая,домик,0,4
02.08.2018 22:20:42,сегодня,9:10:00,горячая,вагончик,0,2
02.08.2018 22:22:05,вчера,7:15:00,горячая,домик,0,2
02.08.2018 22:22:34,вчера,8:50:00,прохладная,вагончик,0,2
02.08.2018 22:23:27,сегодня,7:40:00,прохладная,домик,0,1
02.08.2018 22:24:01,вчера,7:30:00,комфортно тёплая,домик,0,2
02.08.2018 22:24:39,давно,6:00:00,горячая,домик,0,0
02.08.2018 22:25:54,давно,7:45:00,горячая,вагончик,0,2
02.08.2018 22:34:36,сегодня,8:30:00,комфортно тёплая,вагончик,0,2
